Continent,Country,Year women got right to vote,Column3,Column4,Column5,Column6,Column7,Column8,Column9
Africa,Algeria,1962,1,,,,,,
Africa,Angola,1975,1,,,,,,
Africa,Benin,1956,1,,,,,,
Africa,Botswana,1965,1,,,,,,
Africa,Burkina Faso,1958,1,,,,,,
Africa,Burundi,1961,1,,,,,,
Africa,Cameroon,1946,1,,,,,,
Africa,Cape Verde,1975,1,,,,,,
Africa,Central African Republic,1986,1,,,,,,
Africa,Chad,1958,1,,,,,,
Africa,Comoros,1956,1,,,,,,
Africa,Congo,1963,1,,,,,,
Africa,Cªte d'Ivoire,1952,1,,,,,,
Africa,Democratic Republic of the Congo,1967,1,,,,,,
Africa,Djibouti,1946,1,,,,,,
Africa,Egypt,1956,1,,,,,,
Africa,Equatorial Guinea,1963,1,,,,,,
Africa,Eritrea,1955,1,,,,,,
Africa,Ethiopia,1955,1,,,,,,
Africa,Gabon,1956,1,,,,,,
Africa,Gambia,1960,1,,,,,,
Africa,Ghana,1954,1,,,,,,
Africa,Guinea,1958,1,,,,,,
Africa,Guinea-Bissau,1977,1,,,,,,
Africa,Kenya,"1919, 1963",1,,,,,,
Africa,Lesotho,1965,1,,,,,,
Africa,Liberia,1946,1,,,,,,
Africa,Libya,1964,1,,,,,,
Africa,Madagascar,1959,1,,,,,,
Africa,Malawi,1961,1,,,,,,
Africa,Mali,1956,1,,,,,,
Africa,Mauritania,1961,1,,,,,,
Africa,Mauritius,1956,1,,,,,,
Africa,Mozambique,1975,1,,,,,,
Africa,Myanmar,1935,1,,,,,,
Africa,Namibia,1989,1,,,,,,
Africa,Niger,1948,1,,,,,,
Africa,Nigeria,"1958, 1978",1,,,,,,
Africa,Rwanda,1961,1,,,,,,
Africa,Senegal,1945,1,,,,,,
Africa,Seychelles,1948,1,,,,,,
Africa,Sierra Leone,1961,1,,,,,,
Africa,Somalia,1956,1,,,,,,
Africa,South Africa,"1930, 1984, 1994",1,,,,,,
Africa,Sudan,1964,1,,,,,,
Africa,Sao Tome and Principe,1975,1,,,,,,
Africa,Swaziland,1968,1,,,,,,
Africa,Togo,1945,1,,,,,,
Africa,Tunisia,1959,1,,,,,,
Africa,Uganda,1962,1,,,,,,
