Date,Order,Sum Hr,# of data,AverageHr,MaxHr,MinHr,HR25,HR20
9/8/2013,2,5219.7217,2226,2.3448884,2.8833334,1.4166666,26.639713,89.353096
9/9/2013,3,3687.797,1914,1.9267488,2.6666667,1.3333334,2.4033437,28.16092
9/10/2013,4,4710.683,2273,2.0724518,2.8,1.2333333,2.375715,62.25253
9/11/2013,5,4967.467,2644,1.8787696,2.6,1.1666666,0.49167928,27.79879
9/12/2013,6,2294.6162,1313,1.7476133,2.3833334,1.15,0,15.156131
9/13/2013,7,5792.876,3546,1.6336367,2.4333334,1.05,0,4.9069376
9/14/2013,8,5182.881,3154,1.6432723,2.4,1.05,0,6.5630946
9/15/2013,9,4364.3374,2753,1.5853024,2.3166666,0.95,0,3.0512168
9/16/2013,10,3055.4998,1982,1.5416245,2.2666667,1.0166667,0,5.095863
9/17/2013,11,5611.613,3591,1.562688,2.5,0.98333335,0,2.951824
9/18/2013,12,4294.465,2823,1.5212415,2.2666667,0.9166667,0,0.460503
9/19/2013,13,5065.959,3176,1.5950752,2.1666667,0.96666664,0,0.6926952
9/20/2013,14,5374.0435,3400,1.580601,2.2333333,1.1,0,2.5882354
9/21/2013,15,5865.7124,3467,1.6918697,2.4166667,0.93333334,0,11.537353
9/22/2013,16,3820.6313,2353,1.6237277,2.2666667,1.1666666,0,0.16999575
9/23/2013,17,4894.3164,3101,1.5783026,2.1166666,0.96666664,0,0.32247663
9/24/2013,18,5619.9272,3494,1.6084509,2.1166666,0.98333335,0,0.17172295
