Country,fruit,breakfast,exercise,lifeSatisfaction,likeSchool
Austria,37.4,57.4,4.2,88.1,36.1
Belgium,26.2,74.6,3.1,87.8,17.9
Canada,37.3,58.2,4.4,86.3,21.9
Czech Republic,42.2,51.8,4.3,83.4,11.6
Denmark,31.9,72.8,3.8,87.7,21.4
Finland,21.5,67.5,3.8,91.6,8
France,34.2,71.4,3.1,85.1,21.7
Germany,42.4,67,3.6,85.4,29.5
Greece,38.1,45.6,3.9,92.2,29.5
Hungary,31.3,53.4,3.7,84.4,26.3
Ireland,32.6,71.8,4.5,86.8,22.3
Italy,38.4,62.4,3.5,85.2,13
Netherlands,28.1,78,4.1,94.2,34.4
Norway,29.1,69.3,3.5,82.9,38.9
Poland,46.1,69,4,80,17.3
Portugal,47.8,80.8,3.4,80.5,31.1
Spain,36.6,72.2,3.8,87.8,22.8
Sweden,26.7,73.4,3.9,86,21.6
Switzerland,35.5,53.5,3.9,89,22.3
UK,26.7,56.1,4.2,83.5,19
US,27.7,47.2,4.4,83.1,23.4
